Campaign,Ad group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
DR-iPhone,General,Responsive search ad,아이폰 수리 다올리페어,당일 30분 아이폰 수리,정품·DD 액정 선택 가능,아이폰 배터리 셀 교체,후면유리 단독 교체,공식센터 절반 가격,마스터 직영 7년차,수리 후 6개월 보증,구글 4.9점 1000+ 후기,정직한 견적 비교 환영,예약 없이 바로 방문,당일 픽업 가능,아이폰 13·14·15·16·17,비정품 메시지 정직 안내,리퍼 대신 부분 수리,정품·DD 액정 옵션 선택 가능. 배터리 셀 교체·정품 인증 3가지 옵션. 정직한 견적 우선 비교.,마스터 직영 매장 7년차. 가산·신림·목동 3지점 운영. 누적 1만 건 이상 수리 경험.,공식센터 리퍼 견적 절반 이하 가능. 후면유리·카메라·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000건 이상. 6개월 무상 A/S. 당일 30분 화면·배터리 교체.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/iphone-refurbish-guide.html,Enabled
DR-iPhone,Gasan,Responsive search ad,다올리페어 가산점,당일 30분 아이폰 수리,정품·DD 액정 선택 가능,아이폰 배터리 셀 교체,후면유리 단독 교체,공식센터 절반 가격,마스터 직영 7년차,수리 후 6개월 보증,구글 4.9점 1000+ 후기,정직한 견적 비교 환영,예약 없이 바로 방문,당일 픽업 가능,아이폰 13·14·15·16·17,비정품 메시지 정직 안내,리퍼 대신 부분 수리,정품·DD 액정 옵션 선택 가능. 배터리 셀 교체·정품 인증 3가지 옵션. 정직한 견적 우선 비교.,마스터 직영 매장 7년차. 가산·신림·목동 3지점 운영. 누적 1만 건 이상 수리 경험.,공식센터 리퍼 견적 절반 이하 가능. 후면유리·카메라·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000건 이상. 6개월 무상 A/S. 당일 30분 화면·배터리 교체.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-iphone.html,Enabled
DR-iPhone,Sillim,Responsive search ad,다올리페어 신림점,당일 30분 아이폰 수리,정품·DD 액정 선택 가능,아이폰 배터리 셀 교체,후면유리 단독 교체,공식센터 절반 가격,마스터 직영 7년차,수리 후 6개월 보증,구글 4.9점 1000+ 후기,정직한 견적 비교 환영,예약 없이 바로 방문,당일 픽업 가능,아이폰 13·14·15·16·17,비정품 메시지 정직 안내,리퍼 대신 부분 수리,정품·DD 액정 옵션 선택 가능. 배터리 셀 교체·정품 인증 3가지 옵션. 정직한 견적 우선 비교.,마스터 직영 매장 7년차. 가산·신림·목동 3지점 운영. 누적 1만 건 이상 수리 경험.,공식센터 리퍼 견적 절반 이하 가능. 후면유리·카메라·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000건 이상. 6개월 무상 A/S. 당일 30분 화면·배터리 교체.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/repair-sillim-iphone.html,Enabled
DR-iPhone,Mokdong,Responsive search ad,다올리페어 목동점,당일 30분 아이폰 수리,정품·DD 액정 선택 가능,아이폰 배터리 셀 교체,후면유리 단독 교체,공식센터 절반 가격,마스터 직영 7년차,수리 후 6개월 보증,구글 4.9점 1000+ 후기,정직한 견적 비교 환영,예약 없이 바로 방문,당일 픽업 가능,아이폰 13·14·15·16·17,비정품 메시지 정직 안내,리퍼 대신 부분 수리,정품·DD 액정 옵션 선택 가능. 배터리 셀 교체·정품 인증 3가지 옵션. 정직한 견적 우선 비교.,마스터 직영 매장 7년차. 가산·신림·목동 3지점 운영. 누적 1만 건 이상 수리 경험.,공식센터 리퍼 견적 절반 이하 가능. 후면유리·카메라·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000건 이상. 6개월 무상 A/S. 당일 30분 화면·배터리 교체.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/repair-mokdong-iphone.html,Enabled
DR-iPad,General,Responsive search ad,아이패드 수리 다올리페어,정품급 액정·재생 액정,정품급 배터리 사용,마스터 직영 정밀 수리,공식센터 절반 가격,1~2일 부품 수급 후 완료,아이패드 9·10세대 미니,아이패드 에어·프로,후면·홈버튼 수리 가능,수리 후 6개월 보증,구글 4.9점 후기,정직한 견적 우선,비정품 메시지 사전 안내,리퍼 견적 비교 환영,거의 모든 부품 수리,정품급 액정·재생 액정 사용. 정품급 배터리 교체 가능. 아이패드 거의 모든 모델 부분 수리.,마스터 직영 7년차. 가산·신림·목동 운영. 부품 수급 1~2일(주말 시 2~3일) 후 완료.,공식 리퍼 견적 절반 이하 가능. 후면·홈버튼·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000+. 6개월 A/S. 정직한 비교 견적 우선. 무리한 권유 없음.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/ipad-refurbish-guide.html,Enabled
DR-iPad,Gasan,Responsive search ad,다올리페어 가산점,정품급 액정·재생 액정,정품급 배터리 사용,마스터 직영 정밀 수리,공식센터 절반 가격,1~2일 부품 수급 후 완료,아이패드 9·10세대 미니,아이패드 에어·프로,후면·홈버튼 수리 가능,수리 후 6개월 보증,구글 4.9점 후기,정직한 견적 우선,비정품 메시지 사전 안내,리퍼 견적 비교 환영,거의 모든 부품 수리,정품급 액정·재생 액정 사용. 정품급 배터리 교체 가능. 아이패드 거의 모든 모델 부분 수리.,마스터 직영 7년차. 가산·신림·목동 운영. 부품 수급 1~2일(주말 시 2~3일) 후 완료.,공식 리퍼 견적 절반 이하 가능. 후면·홈버튼·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000+. 6개월 A/S. 정직한 비교 견적 우선. 무리한 권유 없음.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-ipad.html,Enabled
DR-iPad,Sillim,Responsive search ad,다올리페어 신림점,정품급 액정·재생 액정,정품급 배터리 사용,마스터 직영 정밀 수리,공식센터 절반 가격,1~2일 부품 수급 후 완료,아이패드 9·10세대 미니,아이패드 에어·프로,후면·홈버튼 수리 가능,수리 후 6개월 보증,구글 4.9점 후기,정직한 견적 우선,비정품 메시지 사전 안내,리퍼 견적 비교 환영,거의 모든 부품 수리,정품급 액정·재생 액정 사용. 정품급 배터리 교체 가능. 아이패드 거의 모든 모델 부분 수리.,마스터 직영 7년차. 가산·신림·목동 운영. 부품 수급 1~2일(주말 시 2~3일) 후 완료.,공식 리퍼 견적 절반 이하 가능. 후면·홈버튼·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000+. 6개월 A/S. 정직한 비교 견적 우선. 무리한 권유 없음.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/repair-sillim-ipad.html,Enabled
DR-iPad,Mokdong,Responsive search ad,다올리페어 목동점,정품급 액정·재생 액정,정품급 배터리 사용,마스터 직영 정밀 수리,공식센터 절반 가격,1~2일 부품 수급 후 완료,아이패드 9·10세대 미니,아이패드 에어·프로,후면·홈버튼 수리 가능,수리 후 6개월 보증,구글 4.9점 후기,정직한 견적 우선,비정품 메시지 사전 안내,리퍼 견적 비교 환영,거의 모든 부품 수리,정품급 액정·재생 액정 사용. 정품급 배터리 교체 가능. 아이패드 거의 모든 모델 부분 수리.,마스터 직영 7년차. 가산·신림·목동 운영. 부품 수급 1~2일(주말 시 2~3일) 후 완료.,공식 리퍼 견적 절반 이하 가능. 후면·홈버튼·충전단자 단독 수리 모두 가능.,구글 4.9점 후기 1000+. 6개월 A/S. 정직한 비교 견적 우선. 무리한 권유 없음.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/repair-mokdong-ipad.html,Enabled
DR-AppleWatch,General,Responsive search ad,애플워치 수리 마스터,정품 액정 사용,정품 추출 배터리,정품 추출 후면 세라믹,공식센터 절반 가격,당일 픽업 가능 모델 다수,SE·시리즈 5·6·7·8·9,울트라·에르메스 수리,무한사과·침수 복구,수리 후 6개월 보증,마스터 직영 7년차,정직한 견적 비교 환영,크라운·버튼 수리 가능,거의 모든 부품 가능,구글 4.9점 1000+,정품 액정 단독 사용. 정품 추출 배터리·후면 세라믹. 부자재(스피커·마이크·크라운) 모두 정품 추출.,마스터 직영 7년차. SE·시리즈 5~10·울트라·에르메스. 거의 모든 부품 수리 가능.,공식 수리비 절반 이하 가능. 무한사과·침수·전원 안 켜짐 등 모든 증상 진단.,구글 4.9점 1000+ 후기. 6개월 무상 A/S. 정직한 견적 우선. 가산·신림·목동.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/applewatch-refurbish-guide.html,Enabled
DR-AppleWatch,Gasan,Responsive search ad,다올리페어 가산점,정품 액정 사용,정품 추출 배터리,정품 추출 후면 세라믹,공식센터 절반 가격,당일 픽업 가능 모델 다수,SE·시리즈 5·6·7·8·9,울트라·에르메스 수리,무한사과·침수 복구,수리 후 6개월 보증,마스터 직영 7년차,정직한 견적 비교 환영,크라운·버튼 수리 가능,거의 모든 부품 가능,구글 4.9점 1000+,정품 액정 단독 사용. 정품 추출 배터리·후면 세라믹. 부자재(스피커·마이크·크라운) 모두 정품 추출.,마스터 직영 7년차. SE·시리즈 5~10·울트라·에르메스. 거의 모든 부품 수리 가능.,공식 수리비 절반 이하 가능. 무한사과·침수·전원 안 켜짐 등 모든 증상 진단.,구글 4.9점 1000+ 후기. 6개월 무상 A/S. 정직한 견적 우선. 가산·신림·목동.,수리,당일,https://xn--2j1bq2k97kxnah86c.com/articles/repair-gasan-watch.html,Enabled
